pmid,year,n_sections,question,decision
10135926,1994,4,Is oral endotracheal intubation efficacy impaired in the helicopter environment?,yes
10158597,1996,7,Does a dedicated discharge coordinator improve the quality of hospital discharge,yes
10173769,1997,7,Longer term quality of life and outcome in stroke patients: is the Barthel index,yes
10201555,1998,3,Is low serum chloride level a risk factor for cardiovascular mortality?,yes
10223070,1999,5,Is perforation of the appendix a risk factor for tubal infertility and ectopic p,maybe
10331115,1999,3,Is amoxapine an atypical antipsychotic?,yes
10340286,1999,3,Is there a role for leukocyte and CRP measurements in the diagnosis of acute app,maybe
10354335,1999,4,Can medical students contribute to quality assurance programmes in day surgery?,yes
10375486,1999,4,Are variations in the use of carotid endarterectomy explained by population Need,no
10381996,1999,3,Clinician assessment for acute chest syndrome in febrile patients with sickle ce,no
10401824,1999,6,Is laparoscopic reoperation for failed antireflux surgery feasible?,yes
10411439,1999,3,Lloyd-Davies position with Trendelenburg--a disaster waiting to happen?,yes
10430303,,3,Does laparoscopic cholecystectomy influence peri-sinusoidal cell activity?,yes
10456814,1999,3,Does desflurane alter left ventricular function when used to control surgical st,no
10473855,1999,3,Is delayed gastric emptying following pancreaticoduodenectomy related to pylorus,no
10490564,1999,4,Hypotension in patients with coronary disease: can profound hypotensive events c,yes
10548670,1999,3,Does the National Institutes of Health Stroke Scale favor left hemisphere stroke,yes
10575390,,7,Do follow-up recommendations for abnormal Papanicolaou smears influence patient ,no
10577397,1999,3,Is a pressor necessary during aortic perfusion and oxygenation therapy of cardia,yes
10593212,1999,6,Does loss of consciousness predict neuropsychological decrements after concussio,no
10605400,1999,2,Is the international normalised ratio (INR) reliable?,maybe
10732884,2000,4,Does coronary angiography before emergency aortic surgery affect in-hospital mor,no
10749257,2000,3,Has the mammography quality standards act affected the mammography quality in No,yes
10757151,2000,3,Does ischemic preconditioning require reperfusion before index ischemia?,no
10759659,2000,3,The nurse cystoscopist: a feasible option?,yes
10781708,2000,3,Thrombosis prophylaxis in hospitalised medical patients: does prophylaxis in all,no
10783841,2000,2,Is there a relationship between rheumatoid arthritis and periodontal disease?,yes
10798511,2000,3,Blunt trauma in intoxicated patients: is computed tomography of the abdomen alwa,no
10808977,2000,6,Can tailored interventions increase mammography use among HMO women?,yes
10811329,2000,3,Are 99mTc leukocyte scintigraphy and SBFT studies useful in children suspected o,yes
10834864,2000,4,Risk factors for avascular necrosis of bone in patients with systemic lupus eryt,no
10877371,2000,3,Does head positioning influence anterior chamber depth in pseudoexfoliation synd,yes
10922093,2000,3,Does open access endoscopy close the door to an adequately informed patient?,yes
10927144,2000,3,Can p53 alterations be used to predict tumour response to pre-operative chemo-ra,no
10966337,2000,3,A short stay or 23-hour ward in a general and academic children's hospital: are ,yes
10966943,2000,2,Amblyopia: is visual loss permanent?,no
10973547,2000,3,Are patients with Werlhof's disease at increased risk for bleeding complications,no
11034241,2000,3,Is routine intraoperative frozen-section examination of sentinel lymph nodes in ,maybe
11035130,2000,4,Do patients with rheumatoid arthritis established on methotrexate and folic acid,yes
11053064,2000,3,Fatigue in primary Sjögren's syndrome: is there a link with the fibromyalgia syn,no
11079675,2000,4,Pulmonary valve replacement in adults late after repair of tetralogy of fallot: ,yes
11138995,,3,Is alexithymia a risk factor for unexplained physical symptoms in general medica,no
11146778,2001,6,Risk stratification in emergency surgical patients: is the APACHE II score a rel,yes
11149643,2000,3,Is semi-closed endarterectomy of the superficial femoral artery combined with a ,yes
11247896,2001,3,Can APC mutation analysis contribute to therapeutic decisions in familial adenom,maybe
11296674,,3,Prostatic syndrome and pleural effusion: are they different diseases?,maybe
11334578,2001,6,Is there awareness of pharmaceutical expenditure in the reformed primary care sy,no
11340218,2001,3,Does pretreatment with statins improve clinical outcome after stroke?,no
11380492,2001,5,Transsphenoidal pituitary surgery in Cushing's disease: can we predict outcome?,yes
11411430,2001,3,Antral follicle assessment as a tool for predicting outcome in IVF--is it a bett,maybe
11413427,2001,5,Does transverse apex coincide with coronal apex levels (regional or global) in a,no
11438275,2001,3,Does patient position during liver surgery influence the risk of venous air embo,no
11458136,2001,6,Does managed care enable more low income persons to identify a usual source of c,maybe
11481172,2001,3,Does the manic/mixed episode distinction in bipolar disorder patients run true o,yes
11481599,2001,3,Acute respiratory distress syndrome in children with malignancy--can we predict ,yes
11483547,2001,4,Does the aggressive use of polyvalent antivenin for rattlesnake bites result in ,no
11500608,2001,2,Does short-term treatment with proton pump inhibitors cause rebound aggravation ,no
11555508,2001,4,Do inhaled corticosteroids affect perception of dyspnea during bronchoconstricti,yes
11566686,2001,3,In vivo visualization of pyloric mucosal hypertrophy in infants with hypertrophi,yes
11567820,2001,3,Does increased nerve length within the treatment volume improve trigeminal neura,no
11570976,2001,2,Is it Crohn's disease?,maybe
11601252,1999,3,Is endothelin-1 an aggravating factor in the development of acute pancreatitis?,yes
11713724,,3,Cancer of the buccal mucosa: are margins and T-stage accurate predictors of loca,no
11729377,2001,4,Is there still a need for living-related liver transplantation in children?,yes
11759976,2001,3,Advanced epithelial ovarian carcinoma in Thai women: should we continue to offer,no
11776681,2001,3,Is intrapartum vibroacoustic stimulation an effective predictor of fetal acidosi,yes
11799314,2001,3,Is external palliative radiotherapy for gallbladder carcinoma effective?,yes
11833948,2001,3,Does a delay in transfer to a rehabilitation unit for older people affect outcom,yes
11838307,2002,3,Cold knife conization vs. LEEP. Are they the same procedure?,no
11862129,2002,3,Do clinical variables predict pathologic radiographs in the first episode of whe,no
11867487,2002,3,Does rugby headgear prevent concussion?,maybe
11882828,2002,3,Does tranexamic acid reduce desmopressin-induced hyperfibrinolysis?,yes
11888773,2002,3,Stage I non-small cell lung carcinoma: really an early stage?,no
11926574,2002,3,Are hepatitis G virus and TT virus involved in cryptogenic chronic liver disease,no
11943048,2002,6,Does receipt of hospice care in nursing homes improve the management of pain at ,yes
11955750,2002,3,Does escalation of the apical dose change treatment outcome in beta-radiation of,no
11970923,2002,3,Convulsions and retinal haemorrhage: should we look further?,yes
