contract,title,n_chars,n_chunks
ACCELERATEDTECHNOLOGIESHOLDINGCORP,ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,13038,9
AFSALABANCORPINC,AFSALABANCORPINC_08_01_1996-EX-1.1-AGENCY AGREEMENT,121559,82
AIRSPANNETWORKSINC,AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement,70444,51
ALCOSTORESINC,ALCOSTORESINC_12_14_2005-EX-10.26-AGENCY AGREEMENT,11355,8
AMBASSADOREYEWEARGROUPINC,AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT,39727,28
AGAPEATPCORP,AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,20693,16
ARCONICROLLEDPRODUCTSCORP,ArconicRolledProductsCorp_20191217_10-12B_EX-2.7_11923804_EX-2.7_Trademark License Agreement,18069,11
BABCOCK,"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.",112447,80
BIOPURECORP,BIOPURECORP_06_30_1999-EX-10.13-AGENCY AGREEMENT,40590,26
BOLIVARMININGCORP,BOLIVARMININGCORP_05_23_2003-EX-2.1-VISP WEB SITE BUILDING AND HOSTING AGREEMENT,11539,8
BERKSHIREHILLSBANCORPINC,BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement,29629,20
BIZZINGOINC,BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement,24223,15
CENTRACKINTERNATIONALINC,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,15176,11
CHERRYHILLMORTGAGEINVESTMENTCORP,CHERRYHILLMORTGAGEINVESTMENTCORP_09_26_2013-EX-10.1-Strategic Alliance Agreement,27741,20
CHIPMOSTECHNOLOGIESBERMUDALTD,CHIPMOSTECHNOLOGIESBERMUDALTD_04_18_2016-EX-4.72-Strategic Alliance Agreement,13506,10
CURAEGISTECHNOLOGIESINC,"CURAEGISTECHNOLOGIES,INC_05_26_2010-EX-1-CORPORATE SPONSORSHIP AGREEMENT",12624,9
CYBERIANOUTPOSTINC,CYBERIANOUTPOSTINC_07_09_1998-EX-10.13-PROMOTION AGREEMENT,25288,19
CARDLYTICSINC,CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement3,1707,1
COLUMBIA,"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT",45846,34
DRIVENDELIVERIESINC,"DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT",27899,13
DOVAPHARMACEUTICALSINC,DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,175580,127
EMERALDHEALTHTHERAPEUTICSINC,EMERALDHEALTHTHERAPEUTICSINC_06_10_2020-EX-4.5-CONSULTING AGREEMENT - DR. GAETANO MORELLO N.D. INC.,20637,13
EBIXINC,EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement,42972,29
ECOSCIENCESOLUTIONSINC,EcoScienceSolutionsInc_20180406_8-K_EX-10.1_11135398_EX-10.1_Sponsorship Agreement,8052,6
ELPOLLOLOCOHOLDINGSINC,ElPolloLocoHoldingsInc_20200306_10-K_EX-10.16_12041700_EX-10.16_Development Agreement,60618,45
FEDERATEDGOVERNMENTINCOMESECURITIESINC,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_POWEROF,14384,11
FREEZETAGINC,FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement,26753,17
GALERATHERAPEUTICSINC,"GALERATHERAPEUTICS,INC_02_14_2020-EX-99.A-JOINT FILING AGREEMENT",3892,3
GOOSEHEADINSURANCEINC,"GOOSEHEADINSURANCE,INC_04_02_2018-EX-10.6-Franchise Agreement",300768,184
GRANTIERRAENERGYINC,GRANTIERRAENERGYINC_05_07_2012-EX-10.6-TRANSPORTATION CONTRACT,229670,170
GSITECHNOLOGYINC,"GSITECHNOLOGYINC_11_16_2009-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT between SONY ELECTRONICS INC. and GSI TECHNOLOGY, INC.",37337,22
GPAQACQUISITIONHOLDINGSINC,GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.8_11951679_EX-10.8_Service Agreement,55075,33
GRIDIRONBIONUTRIENTSINC,GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement,29208,19
GRIDIRONBIONUTRIENTSINC-2,GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement,3456,3
HALITRONINC,"HALITRON,INC_03_01_2005-EX-10.15-SPONSORSHIP AND DEVELOPMENT AGREEMENT",30102,20
HC2HOLDINGSINC,"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT",54866,21
HEMISPHERX,"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement",73685,43
HERTZGLOBALHOLDINGSINC,"HERTZGLOBALHOLDINGS,INC_07_07_2016-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT",30968,13
HPILHOLDING,HPILHOLDING_01_07_2015-EX-99.1-COOPERATION AGREEMENT,20008,11
HARPOONTHERAPEUTICSINC,HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement,249551,180
HFENTERPRISESINC,HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement,19435,9
ICORECONNECTINC,ICORECONNECTINC_10_13_2010-EX-7.1-Strategic Alliance Agreement,25246,17
IMPCOTECHNOLOGIESINC,IMPCOTECHNOLOGIESINC_04_15_2003-EX-10.65-JOINT VENTURE AGREEMENT,63439,39
INGEVITYCORP,INGEVITYCORP_05_16_2016-EX-10.5-INTELLECTUAL PROPERTY AGREEMENT,63376,35
IDEANOMICSINC,IdeanomicsInc_20151124_8-K_EX-10.2_9354744_EX-10.2_Content License Agreement,35189,26
INTEGRITYMEDIAINC,IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement,29253,20
KENTUCKYUTILITIESCO,KENTUCKYUTILITIESCO_03_25_2003-EX-10.65-TRANSPORTATION AGREEMENT,16901,10
LOOKSMARTLTD,LOOKSMARTLTD_07_20_2012-EX-99.(D)(I)-SPONSORSHIP AGREEMENT,25922,10
LOHACOMPANYLTD,LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,11475,8
MERITLIFEINSURANCECO,MERITLIFEINSURANCECO_06_19_2020-EX-10.(XIV)-MASTER SERVICES AGREEMENT,22090,18
MFAFINANCIALINC,"MFAFINANCIAL,INC_07_06_2020-EX-99.D-JOINT FILING AGREEMENT",3595,3
